word;translation;example_sentence;transition_sentence
confer; verleihen; They will confer a degree on him; Sie werden verleihen einen Abschluss an ihn
confess; gestehen; He confessed his mistake; Er gestand seinen Fehler
confession; Geständnis; His confession surprised everyone; Sein Geständnis überraschte jeden
configuration; Konfiguration; They changed the configuration of the computer; Sie änderten die Konfiguration von dem Computer
confine; einschränken; They had to confine him to the house; Sie mussten einschränken ihn zu dem Haus
confirmation; Bestätigung; They received a confirmation of the booking; Sie erhielten eine Bestätigung von der Buchung
confront; konfrontieren; He had to confront his fears; Er musste konfrontieren seine Ängste
confrontation; Konfrontation; They avoided a confrontation; Sie vermieden eine Konfrontation
confusion; Verwirrung; There was a lot of confusion; Es war eine Menge von Verwirrung
congratulate; gratulieren; They congratulated him on his success; Sie gratulierten ihm zu seinem Erfolg
congregation; Gemeinde; The congregation met in the church; Die Gemeinde traf sich in der Kirche
congressional; Kongress-; They discussed the issue in the congressional meeting; Sie diskutierten das Thema in dem Kongress Treffen
conquer; erobern; They conquered the land; Sie eroberten das Land
conscience; Gewissen; His conscience told him what was right; Sein Gewissen sagte ihm was war richtig
consciousness; Bewusstsein; She lost consciousness; Sie verlor das Bewusstsein
consecutive; aufeinanderfolgend; They won five consecutive games; Sie gewannen fünf aufeinanderfolgende Spiele
consensus; Konsens; They reached a consensus; Sie erreichten einen Konsens
consent; Zustimmung; They needed his consent; Sie brauchten seine Zustimmung
consequently; folglich; He missed the train and consequently was late; Er verpasste den Zug und folglich war spät
conservation; Erhaltung; They are working on wildlife conservation; Sie arbeiten an Wildtier Erhaltung
conserve; erhalten; They need to conserve water; Sie müssen erhalten Wasser
considerable; beträchtlich; There was a considerable amount of damage; Es war eine beträchtliche Menge von Schaden
considerably; beträchtlich; The situation has improved considerably; Die Situation hat verbessert beträchtlich
consistency; Beständigkeit; They showed consistency; Sie zeigten Beständigkeit
consistently; beständig; He performed consistently well; Er leistete beständig gut
consolidate; festigen; They need to consolidate their position; Sie müssen festigen ihre Position
conspiracy; Verschwörung; There was a conspiracy theory; Es war eine Verschwörungstheorie
constituency; Wahlkreis; He represents his constituency; Er repräsentiert seinen Wahlkreis
constitute; darstellen; These issues constitute a problem; Diese Themen stellen dar ein Problem
constitution; Verfassung; They follow the country's constitution; Sie folgen die Landes Verfassung
constitutional; verfassungsmäßig; They challenged the decision as unconstitutional; Sie forderten an die Entscheidung als verfassungswidrig
constraint; Einschränkung; They were working under some constraints; Sie arbeiteten unter einigen Einschränkungen
consult; beraten; They need to consult a lawyer; Sie müssen beraten einen Anwalt
consultant; Berater/in; She is a business consultant; Sie ist eine Geschäftsberaterin
consultation; Beratung; They had a consultation with the doctor; Sie hatten eine Beratung mit dem Arzt
consumption; Verbrauch; They are monitoring energy consumption; Sie überwachen Energie Verbrauch
contemplate; nachdenken; He needed time to contemplate the proposal; Er brauchte Zeit um nachzudenken den Vorschlag
contempt; Verachtung; He showed contempt for the rules; Er zeigte Verachtung für die Regeln
contend; behaupten; He contends that he is innocent; Er behauptet, dass er ist unschuldig
contender; Anwärter/in; She is a strong contender for the award; Sie ist eine starke Anwärterin für die Auszeichnung
content; Inhalt; What was the content of the letter; Was war der Inhalt von dem Brief
contention; Streit; The issue is a point of contention; Das Thema ist ein Punkt von Streit
continually; ständig; The phone was ringing continually; Das Telefon klingelte ständig
contractor; Auftragnehmer; He is a building contractor; Er ist ein Bau Auftragnehmer
contradiction; Widerspruch; There is a contradiction in the statement; Es gibt einen Widerspruch in der Aussage
contrary; gegenteilig; The evidence was contrary to the claim; Die Beweise waren gegenteilig zu dem Anspruch
contributor; Beitragende/r; He is a major contributor to the project; Er ist ein großer Beitragender zu dem Projekt
controversial; kontrovers; The topic was very controversial; Das Thema war sehr kontrovers
controversy; Kontroverse; The decision caused a lot of controversy; Die Entscheidung verursachte eine Menge von Kontroverse
convenience; Bequemlichkeit; They chose it for its convenience; Sie wählten es für seine Bequemlichkeit
convention; Übereinkunft; There was a international convention; Es war eine internationale Übereinkunft
conventional; herkömmlich; It is a conventional way of doing things; Es ist eine herkömmliche Art von machen Sachen
conversion; Umwandlung; They did a conversion to the building; Sie machten eine Umwandlung zu dem Gebäude
convey; vermitteln; They need to convey this message; Sie müssen vermitteln diese Nachricht
convict; verurteilen; They were convicted of the crime; Sie waren verurteilt von dem Verbrechen
conviction; Überzeugung; He has a strong conviction; Er hat eine starke Überzeugung
convincing; überzeugend; The argument was very convincing; Die Argumentation war sehr überzeugend
cooperate; zusammenarbeiten; They will cooperate on the project; Sie werden zusammenarbeiten an dem Projekt
cooperative; kooperativ; They are a very cooperative group; Sie sind eine sehr kooperative Gruppe
coordinate; koordinieren; They need to coordinate the work; Sie müssen koordinieren die Arbeit
coordination; Koordination; The coordination was very good; Die Koordination war sehr gut
coordinator; Koordinator/in; She is the project coordinator; Sie ist die Projekt Koordinatorin
cop; Polizist/in; He is a police cop; Er ist ein Polizei Polizist
cope; bewältigen; He has difficulty coping with stress; Er hat Schwierigkeiten bewältigen mit Stress
copper; Kupfer; The pipes were made of copper; Die Rohre waren gemacht aus Kupfer
copyright; Urheberrecht; They have the copyright for the book; Sie haben das Urheberrecht für das Buch
corporation; Konzern; It is a large multinational corporation; Es ist ein großer multinationaler Konzern
correction; Korrektur; They needed a correction of the document; Sie brauchten eine Korrektur von dem Dokument
correlate; korrelieren; The results did not correlate with each other; Die Ergebnisse korrelierten nicht mit einander
correlation; Korrelation; They found a correlation between the two factors; Sie fanden eine Korrelation zwischen den zwei Faktoren
correspond; entsprechen; The results correspond with expectations; Die Ergebnisse entsprechen mit Erwartungen
correspondence; Korrespondenz; They have a lot of correspondence with the clients; Sie haben eine Menge von Korrespondenz mit den Klienten
correspondent; Korrespondent/in; She is a BBC correspondent; Sie ist eine BBC Korrespondentin
corresponding; entsprechend; The two pictures are corresponding; Die zwei Bilder sind entsprechend
corridor; Korridor; They walked down the corridor; Sie gingen hinunter den Korridor
corrupt; korrupt; The system is corrupt; Das System ist korrupt
corruption; Korruption; They are investigating corruption; Sie untersuchen Korruption
costly; kostspielig; It was a very costly mistake; Es war ein sehr kostspieliger Fehler
councillor; Stadtrat/Stadträtin; She is a local councillor; Sie ist ein lokaler Stadträtin
counselling; Beratung; He needs some counselling; Er braucht einige Beratung
counsellor; Berater/in; She is a school counsellor; Sie ist eine Schul Beraterin
counter; Tresen; He stood at the counter; Er stand an dem Tresen
counterpart; Gegenstück; He spoke to his counterpart in the other country; Er sprach zu seinem Gegenstück in dem anderen Land
countless; unzählig; There were countless stars in the sky; Es waren unzählige Sterne in dem Himmel
coup; Putsch; They attempted a coup; Sie versuchten einen Putsch
courtesy; Höflichkeit; He was treated with courtesy; Er wurde behandelt mit Höflichkeit
coverage; Berichterstattung; They had good media coverage; Sie hatten gute Medien Berichterstattung
crack; Riss; There was a crack in the wall; Es war ein Riss in der Wand
craft; Handwerk; She is good at craft; Sie ist gut in Handwerk
crawl; kriechen; The baby started to crawl; Das Baby begann zu kriechen
creativity; Kreativität; He is full of creativity; Er ist voll von Kreativität
creator; Schöpfer/in; He is the creator of the universe; Er ist der Schöpfer von dem Universum
credibility; Glaubwürdigkeit; They lost their credibility; Sie verloren ihre Glaubwürdigkeit
credible; glaubwürdig; Is the story credible?; Ist die Geschichte glaubwürdig?
creep; schleichen; The cat started to creep along the floor; Die Katze begann zu schleichen entlang des Bodens
critically; kritisch; He was critically injured; Er war kritisch verletzt
critique; Kritik; They gave her a positive critique; Sie gaben ihr eine positive Kritik
crown; Krone; The queen wore a crown; Die Königin trug eine Krone
crude; roh; They used crude oil; Sie benutzten Rohöl
cruise; Kreuzfahrt; They went on a cruise; Sie gingen auf eine Kreuzfahrt
crush; zerquetschen; He crushed the can with his foot; Er zerquetschte die Dose mit seinem Fuß
crystal; Kristall; It was a beautiful crystal glass; Es war ein schönes Kristall Glas
cue; Stichwort; It was his cue to enter the stage; Es war sein Stichwort um einzutreten die Bühne
cult; Kult; They were part of a religious cult; Sie waren Teil von einem religiösen Kult
cultivate; anbauen; They cultivate crops on their land; Sie bauen an Feldfrüchte auf ihrem Land
curiosity; Neugier; She was filled with curiosity; Sie war erfüllt mit Neugier
curious; neugierig; He was curious to know the answer; Er war neugierig zu wissen die Antwort
curriculum; Lehrplan; They are designing a new curriculum; Sie entwerfen einen neuen Lehrplan
custody; Sorgerecht; She lost custody of her child; Sie verlor Sorgerecht von ihrem Kind
cute; süß; The puppy was very cute; Der Welpe war sehr süß
cutting; schneidend; The wind was cutting; Der Wind war schneidend
cynical; zynisch; He is very cynical about everything; Er ist sehr zynisch über alles
dairy; Molkerei; The dairy products were very fresh; Die Molkerei Produkte waren sehr frisch
dam; Damm; They built a dam across the river; Sie bauten einen Damm über den Fluss
damaging; schädlich; The information was very damaging; Die Informationen waren sehr schädlich
dare; wagen; She did not dare to say anything; Sie wagte nicht zu sagen irgendetwas
darkness; Dunkelheit; The darkness was complete; Die Dunkelheit war vollständig
database; Datenbank; They stored the data in a database; Sie speicherten die Daten in einer Datenbank
dawn; Morgendämmerung; They left at dawn; Sie verließen bei Morgendämmerung
deadline; Frist; They missed the deadline; Sie verpassten die Frist
deadly; tödlich; It was a deadly disease; Es war eine tödliche Krankheit
dealer; Händler/in; He is a car dealer; Er ist ein Auto Händler
debris; Trümmer; They cleared the debris after the storm; Sie beseitigten die Trümmer nach dem Sturm
debut; Debüt; It was her debut on stage; Es war ihr Debüt auf der Bühne
decision-making; Entscheidungsfindung; They had a meeting about decision-making; Sie hatten ein Treffen über Entscheidungsfindung
decisive; entscheidend; He took a decisive step; Er machte einen entscheidenden Schritt
deck; Deck; They sat on the deck; Sie saßen auf dem Deck
declaration; Erklärung; They signed a declaration; Sie unterschrieben eine Erklärung
dedicated; engagiert; He is a dedicated worker; Er ist ein engagierter Arbeiter
dedication; Hingabe; She showed her dedication to her work; Sie zeigte ihre Hingabe zu ihrer Arbeit
deed; Tat; It was a good deed; Es war eine gute Tat
deem; halten; They deemed the decision necessary; Sie hielten die Entscheidung notwendig
default; Standard; It was set to the default settings; Es war eingestellt zu den Standard Einstellungen
defect; Defekt; There was a defect in the machine; Es gab einen Defekt in der Maschine
defender; Verteidiger/in; He is a defender of human rights; Er ist ein Verteidiger von Menschenrechten
defensive; defensiv; He was acting very defensive; Er handelte sehr defensiv
deficiency; Mangel; There was a deficiency in the budget; Es war ein Mangel in dem Budget
deficit; Defizit; There was a budget deficit; Es war ein Budget Defizit
defy; trotzen; They defied the rules; Sie trotzten die Regeln
delegate; delegieren; They need to delegate the tasks; Sie müssen delegieren die Aufgaben
delegation; Delegation; The delegation arrived at the meeting; Die Delegation kam an bei dem Treffen
delete; löschen; They deleted the files; Sie löschten die Dateien
delicate; empfindlich; The skin is very delicate; Die Haut ist sehr empfindlich
democracy; Demokratie; They are working to establish democracy; Sie arbeiten um zu errichten Demokratie
democratic; demokratisch; They voted in a democratic way; Sie wählten auf eine demokratische Weise
demon; Dämon; They believe in demons; Sie glauben an Dämonen
demonstration; Demonstration; They held a demonstration; Sie hielten eine Demonstration
denial; Verleugnung; He issued a denial of the allegations; Er gab heraus eine Verleugnung von den Behauptungen
denounce; verurteilen; They denounced the actions of the group; Sie verurteilten die Aktionen von der Gruppe
dense; dicht; The forest was very dense; Der Wald war sehr dicht
density; Dichte; The density of the population was high; Die Dichte von der Bevölkerung war hoch
depart; abreisen; They will depart at noon; Sie werden abreisen um Mittag
dependence; Abhängigkeit; He had a dependence on alcohol; Er hatte eine Abhängigkeit von Alkohol
dependent; abhängig; He is dependent on his parents; Er ist abhängig von seinen Eltern
depict; darstellen; The artist depicted the scene; Der Künstler stellte dar die Szene
deploy; einsetzen; They need to deploy more resources; Sie müssen einsetzen mehr Ressourcen
deployment; Einsatz; The deployment of troops was necessary; Der Einsatz von Truppen war notwendig
deposit; Anzahlung/Einzahlung; They paid a deposit on the house; Sie zahlten eine Anzahlung auf das Haus
depression; Depression; He suffers from depression; Er leidet unter Depression
deprive; entziehen; They deprived them of their freedom; Sie entzogen ihnen ihre Freiheit
deputy; Stellvertreter/in; She is the deputy manager; Sie ist die Stellvertreterin Managerin
derive; ableiten; They derive their income from sales; Sie leiten ihr Einkommen ab von Verkäufen
descend; absteigen; They descended the mountain; Sie stiegen ab den Berg
descent; Abstieg; The descent was very dangerous; Der Abstieg war sehr gefährlich
designate; bestimmen; They need to designate a new leader; Sie müssen bestimmen einen neuen Führer
desirable; wünschenswert; It is a desirable outcome; Es ist ein wünschenswertes Ergebnis
desktop; Desktop; The computer is a desktop; Der Computer ist ein Desktop
desperately; verzweifelt; They were desperately trying to escape; Sie versuchten verzweifelt zu entkommen
destruction; Zerstörung; There was a lot of destruction; Es war eine Menge von Zerstörung
destructive; zerstörerisch; It was a very destructive force; Es war eine sehr zerstörerische Kraft
detain; festhalten; They detained him in custody; Sie hielten fest ihn in Haft
detection; Aufdeckung; The detection of the crime was very difficult; Die Aufdeckung von dem Verbrechen war sehr schwierig
detention; Haft; He was held in detention; Er war gehalten in Haft
deteriorate; verschlechtern; The situation started to deteriorate; Die Situation begann zu verschlechtern
determination; Entschlossenheit; He showed great determination; Er zeigte große Entschlossenheit
devastate; verwüsten; The storm devastated the town; Der Sturm verwüstete die Stadt
devil; Teufel; They believe in the devil; Sie glauben an den Teufel
devise; entwickeln; They are trying to devise a plan; Sie versuchen zu entwickeln einen Plan
devote; widmen; She devoted her life to her work; Sie widmete ihr Leben zu ihrer Arbeit
diagnose; diagnostizieren; They diagnosed the illness; Sie diagnostizierten die Krankheit
diagnosis; Diagnose; They received a diagnosis; Sie erhielten eine Diagnose
dictate; diktieren; They dictate the rules; Sie diktieren die Regeln
dictator; Diktator/in; He was a ruthless dictator; Er war ein rücksichtsloser Diktator
differ; unterscheiden; The two approaches differ significantly; Die zwei Ansätze unterscheiden sich wesentlich
differentiate; unterscheiden; They need to differentiate the products; Sie müssen unterscheiden die Produkte
dignity; Würde; They were treated with dignity; Sie wurden behandelt mit Würde
dilemma; Dilemma; They faced a difficult dilemma; Sie standen vor einem schwierigen Dilemma
dimension; Dimension; The box has three dimensions; Die Kiste hat drei Dimensionen
diminish; verringern; The number of cases started to diminish; Die Anzahl von Fällen begann zu verringern
dip; tunken; Dip the biscuit into the tea; Tunke den Keks in den Tee
diplomat; Diplomat/in; She is a senior diplomat; Sie ist eine hochrangige Diplomatin
diplomatic; diplomatisch; They had a diplomatic relationship; Sie hatten eine diplomatische Beziehung
directory; Verzeichnis; They looked up the number in the directory; Sie suchten nach der Nummer in dem Verzeichnis
disability; Behinderung; He has a disability; Er hat eine Behinderung
disabled; behindert; He is disabled; Er ist behindert
disagreement; Meinungsverschiedenheit; They had a disagreement; Sie hatten eine Meinungsverschiedenheit
disappoint; enttäuschen; They didn't want to disappoint him; Sie wollten nicht enttäuschen ihn
disappointment; Enttäuschung; It was a big disappointment; Es war eine große Enttäuschung
disastrous; katastrophal; It was a disastrous outcome; Es war ein katastrophales Ergebnis
discard; wegwerfen; They discarded the old clothes; Sie warfen weg die alte Kleidung
discharge; entlassen; He was discharged from the hospital; Er wurde entlassen von dem Krankenhaus
disclose; offenlegen; They disclosed the information; Sie legten offen die Informationen
disclosure; Offenlegung; They made a full disclosure; Sie machten eine volle Offenlegung
discourage; entmutigen; They tried to discourage him; Sie versuchten zu entmutigen ihn
discourse; Diskurs; They had a political discourse; Sie hatten einen politischen Diskurs
discretion; Ermessen; It is at their discretion; Es ist in ihrem Ermessen
discrimination; Diskriminierung; They faced racial discrimination; Sie erlebten rassistische Diskriminierung
dismissal; Entlassung; He faced dismissal from his job; Er drohte Entlassung von seinem Job
disorder; Störung; He has a sleeping disorder; Er hat eine Schlafstörung
displace; vertreiben; The storm displaced many people; Der Sturm vertrieb viele Leute
disposal; Beseitigung; They need a proper waste disposal system; Sie brauchen ein richtiges Müll Beseitigung System
dispose; beseitigen; They need to dispose of the waste; Sie müssen beseitigen von dem Müll
dispute; Streitigkeit; There was a dispute over the land; Es war eine Streitigkeit über das Land
disrupt; stören; The noise will disrupt the meeting; Der Lärm wird stören das Treffen
disruption; Störung; There was a disruption to the service; Es gab eine Störung zu dem Service
dissolve; auflösen; The sugar will dissolve in the water; Der Zucker wird auflösen in dem Wasser
distant; entfernt; They live in a distant town; Sie leben in einer entfernten Stadt
distinct; deutlich; There was a distinct difference; Es war ein deutlicher Unterschied
distinction; Unterschied; There is a distinction between the two; Es gibt einen Unterschied zwischen den zwei
distinctive; unverwechselbar; He has a distinctive style; Er hat einen unverwechselbaren Stil
distinguish; unterscheiden; They can distinguish between the two; Sie können unterscheiden zwischen den zwei
distort; verzerren; They distorted the truth; Sie verzerrten die Wahrheit
distract; ablenken; The noise was distracting; Der Lärm war ablenkend
distress; Notlage; They were in distress; Sie waren in Notlage
disturb; stören; Please do not disturb; Bitte nicht stören
disturbing; beunruhigend; It was a disturbing report; Es war ein beunruhigender Bericht
dive; tauchen; He likes to dive in the sea; Er mag zu tauchen in dem Meer
diverse; vielfältig; They have diverse cultures; Sie haben vielfältige Kulturen
diversity; Vielfalt; They value diversity in their company; Sie schätzen Vielfalt in ihrer Firma
divert; ablenken; They tried to divert attention; Sie versuchten abzulenken Aufmerksamkeit
divine; göttlich; She is seen as a divine being; Sie ist gesehen als ein göttliches Wesen
divorce; Scheidung; They are getting a divorce; Sie bekommen eine Scheidung
doctrine; Lehre; They followed a specific doctrine; Sie folgten einer spezifischen Lehre
documentation; Dokumentation; They needed the correct documentation; Sie brauchten die korrekte Dokumentation
domain; Bereich; This is in his domain; Das ist in seinem Bereich
dominance; Dominanz; They sought dominance in the market; Sie suchten Dominanz in dem Markt
dominant; dominant; They are the dominant team; Sie sind das dominante Team
donation; Spende; They gave a donation to charity; Sie gaben eine Spende zu Wohltätigkeit
donor; Spender/in; He is a blood donor; Er ist ein Blut Spender
dose; Dosis; They took a prescribed dose of medicine; Sie nahmen eine verschriebene Dosis von Medizin
dot; Punkt; There was a small dot on the paper; Es war ein kleiner Punkt auf dem Papier
downtown; Innenstadt; They live downtown; Sie leben Innenstadt
drain; abfließen; The water will drain away; Das Wasser wird abfließen weg
dramatically; dramatisch; The situation changed dramatically; Die Situation änderte sich dramatisch
drift; treiben; The boat started to drift; Das Boot begann zu treiben
driving; Autofahren; He is good at driving; Er ist gut im Autofahren
drought; Dürre; The region is experiencing a drought; Die Region erlebt eine Dürre
drown; ertrinken; They nearly drowned in the river; Sie beinahe ertranken in dem Fluss
dual; dual; They have a dual role; Sie haben eine duale Rolle
dub; nennen; They dubbed him king; Sie nannten ihn König
dull; langweilig; The meeting was very dull; Das Treffen war sehr langweilig
dumb; dumm; That was a dumb idea; Das war eine dumme Idee
dump; Müllhalde; They dumped the rubbish here; Sie warfen den Müll hier
duo; Duo; They are a musical duo; Sie sind ein musikalisches Duo
duration; Dauer; The duration of the meeting was very long; Die Dauer von dem Treffen war sehr lang
dynamic; dynamisch; The market is very dynamic; Der Markt ist sehr dynamisch
eager; eifrig; He was eager to start the project; Er war eifrig zu starten das Projekt
earnings; Einkommen; Their earnings are very high; Ihr Einkommen ist sehr hoch
ease; Leichtigkeit; They completed it with ease; Sie beendeten es mit Leichtigkeit
echo; Echo; Her words echoed in the empty room; Ihre Worte hallten in dem leeren Raum
ecological; ökologisch; They are concerned about the ecological impact; Sie sind besorgt über den ökologischen Einfluss
economics; Wirtschaftswissenschaften; She studied economics at university; Sie studierte Wirtschaftswissenschaften an der Universität
economist; Wirtschaftswissenschaftler/in; He is a well-known economist; Er ist ein bekannter Wirtschaftswissenschaftler
editorial; Leitartikel; He read the editorial in the newspaper; Er las den Leitartikel in der Zeitung
educator; Pädagoge/in; She is a dedicated educator; Sie ist eine engagierte Pädagogin
effectiveness; Wirksamkeit; They are evaluating the effectiveness of the program; Sie bewerten die Wirksamkeit von dem Programm
efficiency; Effizienz; The system works with great efficiency; Das System arbeitet mit großer Effizienz
efficiently; effizient; They worked efficiently; Sie arbeiteten effizient
ego; Ego; He has a big ego; Er hat ein großes Ego
elaborate; ausführlich; He gave an elaborate explanation; Er gab eine ausführliche Erklärung
elbow; Ellenbogen; He hurt his elbow; Er verletzte seinen Ellenbogen
electoral; Wahl-; They discussed the electoral system; Sie diskutierten das Wahl System
electronics; Elektronik; They work in electronics; Sie arbeiten in Elektronik
elegant; elegant; The room was very elegant; Der Raum war sehr elegant
elementary; elementar; It was elementary school; Es war elementare Schule
elevate; erhöhen; They elevated the platform; Sie erhöhten die Plattform
eligible; berechtigt; He is eligible for the prize; Er ist berechtigt für den Preis
eliminate; beseitigen; They need to eliminate the problem; Sie müssen beseitigen das Problem
elite; Elite; They are part of the elite; Sie sind Teil von der Elite
embark; beginnen; They will embark on the journey tomorrow; Sie werden beginnen auf die Reise morgen
embarrassment; Peinlichkeit; It was a big embarrassment; Es war eine große Peinlichkeit
embassy; Botschaft; They went to the embassy; Sie gingen zu der Botschaft
embed; einbetten; They need to embed the code; Sie müssen einbetten den Code
embody; verkörpern; He embodies the values; Er verkörpert die Werte
embrace; annehmen; They embraced the idea; Sie nahmen an die Idee
emergence; Entstehung; The emergence of new technologies; Die Entstehung von neuen Technologien
emission; Emission; The factory emits pollution; Die Fabrik emittiert Verschmutzung
emotionally; emotional; He was emotionally affected; Er war emotional betroffen
empire; Imperium; The Roman empire was very large; Das Römische Imperium war sehr groß
empirical; empirisch; The study is based on empirical evidence; Die Studie ist basiert auf empirischen Beweisen
empower; ermächtigen; They are working to empower women; Sie arbeiten um zu ermächtigen Frauen
enact; erlassen; They will enact the law; Sie werden erlassen das Gesetz
encompass; umfassen; The report encompasses all the issues; Der Bericht umfasst alle die Themen
encouragement; Ermutigung; They gave him a lot of encouragement; Sie gaben ihm eine Menge von Ermutigung
encouraging; ermutigend; The news was encouraging; Die Nachrichten waren ermutigend
endeavour; Bemühung; They are continuing their endeavour; Sie setzen fort ihre Bemühung
endless; endlos; The road seemed endless; Die Straße schien endlos
endorse; befürworten; They endorsed the proposal; Sie befürworteten den Vorschlag
endorsement; Befürwortung; The politician received a strong endorsement; Der Politiker erhielt eine starke Befürwortung
endure; aushalten; They had to endure hardship; Sie mussten aushalten Not
enforce; durchsetzen; They need to enforce the rules; Sie müssen durchsetzen die Regeln
enforcement; Durchsetzung; They are responsible for the enforcement of the law; Sie sind verantwortlich für die Durchsetzung von dem Gesetz
engagement; Verpflichtung; They had a business engagement; Sie hatten eine geschäftliche Verpflichtung
engaging; fesselnd; The book was very engaging; Das Buch war sehr fesselnd
enjoyable; angenehm; The experience was very enjoyable; Die Erfahrung war sehr angenehm
enquire; anfragen; They need to enquire about the details; Sie müssen anfragen über die Details
enrich; bereichern; They try to enrich the lives of others; Sie versuchen zu bereichern die Leben von Anderen
enrol; einschreiben; They need to enrol on the course; Sie müssen einschreiben auf dem Kurs
ensue; folgen; A fight ensued; Ein Kampf folgte
enterprise; Unternehmen; It is a small enterprise; Es ist ein kleines Unternehmen
entertaining; unterhaltsam; The show was very entertaining; Die Show war sehr unterhaltsam
enthusiast; Enthusiast/in; He is a keen sports enthusiast; Er ist ein eifriger Sport Enthusiast
entitle; berechtigen; This entitles you to free travel; Das berechtigt dich zu kostenlosem Reisen
entity; Einheit; The company is a separate entity; Die Firma ist eine separate Einheit
entrepreneur; Unternehmer/in; She is a successful entrepreneur; Sie ist eine erfolgreiche Unternehmerin
envelope; Umschlag; Put the letter in the envelope; Lege den Brief in den Umschlag
epidemic; Epidemie; They faced a serious epidemic; Sie erlebten eine ernste Epidemie
equality; Gleichheit; They are fighting for equality; Sie kämpfen für Gleichheit
equation; Gleichung; He solved the equation; Er löste die Gleichung
equip; ausstatten; They need to equip the soldiers; Sie müssen ausstatten die Soldaten
equivalent; gleichwertig; It was equivalent to 10 dollars; Es war gleichwertig zu 10 Dollar
era; Ära; It was the start of a new era; Es war der Start von einer neuen Ära
erect; errichten; They will erect a new building; Sie werden errichten ein neues Gebäude
erupt; ausbrechen; The volcano started to erupt; Der Vulkan begann ausbrechen
escalate; eskalieren; The conflict started to escalate; Der Konflikt begann zu eskalieren
essence; Wesen; The essence of the matter is this; Das Wesen von der Angelegenheit ist dies
essentially; im Wesentlichen; It is essentially the same thing; Es ist im Wesentlichen das gleiche Ding
establishment; Einrichtung; They run an educational establishment; Sie leiten eine Bildungseinrichtung
eternal; ewig; It is an eternal flame; Es ist eine ewige Flamme
ethic; Ethik; They follow a strict ethic; Sie folgen einer strengen Ethik
ethnic; ethnisch; The group are ethnically diverse; Die Gruppe ist ethnisch vielfältig
evacuate; evakuieren; They had to evacuate the area; Sie mussten evakuieren die Gegend
evaluation; Bewertung; They did an evaluation of the system; Sie machten eine Bewertung von dem System
evident; offensichtlich; It was evident that they were happy; Es war offensichtlich, dass sie waren glücklich
evoke; hervorrufen; The memory evoked strong feelings; Die Erinnerung rief hervor starke Gefühle
evolution; Evolution; They studied the evolution of the species; Sie studierten die Evolution von der Art
evolutionary; evolutionär; It is an evolutionary process; Es ist ein evolutionärer Prozess
evolve; entwickeln; The company continues to evolve; Die Firma setzt fort zu entwickeln
exaggerate; übertreiben; He tends to exaggerate; Er neigt zu übertreiben
exceed; übertreffen; The result exceeded their expectations; Das Ergebnis übertraf ihre Erwartungen
excellence; Exzellenz; They strive for excellence; Sie streben nach Exzellenz
exception; Ausnahme; There is an exception to the rule; Es gibt eine Ausnahme zu der Regel
exceptional; außergewöhnlich; He was an exceptional student; Er war ein außergewöhnlicher Student
excess; Überschuss; They had an excess of food; Sie hatten einen Überschuss von Essen
excessive; übermäßig; The spending was excessive; Die Ausgaben waren übermäßig
exclude; ausschließen; They excluded some people from the list; Sie schlossen aus einige Leute von der Liste
exclusion; Ausschluss; They faced social exclusion; Sie erlebten sozialen Ausschluss
exclusive; exklusiv; This is an exclusive offer; Das ist ein exklusives Angebot
exclusively; ausschließlich; They are working exclusively on that project; Sie arbeiten ausschließlich an dem Projekt
execute; ausführen; They need to execute the plan; Sie müssen ausführen den Plan
execution; Ausführung; They had a problem with the execution of the plan; Sie hatten ein Problem mit der Ausführung von dem Plan
exert; ausüben; They had to exert a lot of effort; Sie mussten ausüben eine Menge von Anstrengung
exhibit; ausstellen; They will exhibit the paintings; Sie werden ausstellen die Gemälde
exile; Exil; He lived in exile for many years; Er lebte in Exil für viele Jahre
exit; Ausgang; The exit is over there; Der Ausgang ist dort
exotic; exotisch; They have some exotic animals; Sie haben einige exotische Tiere
expansion; Ausdehnung; They plan an expansion of the business; Sie planen eine Ausdehnung von dem Geschäft
expenditure; Ausgaben; They need to control their expenditure; Sie müssen kontrollieren ihre Ausgaben
experimental; experimentell; It was an experimental approach; Es war ein experimenteller Ansatz
expertise; Fachwissen; They have expertise in the field; Sie haben Fachwissen in dem Feld
expire; ablaufen; The contract will expire next year; Der Vertrag wird ablaufen nächstes Jahr
explicit; ausdrücklich; They gave explicit instructions; Sie gaben ausdrückliche Anweisungen
explicitly; ausdrücklich; They were explicitly told not to go; Sie waren ausdrücklich gesagt nicht zu gehen
exploit; ausbeuten; They exploited the workers; Sie beuteten aus die Arbeiter
exploitation; Ausbeutung; They are fighting against worker exploitation; Sie kämpfen gegen Arbeiter Ausbeutung
explosive; explosiv; The situation was very explosive; Die Situation war sehr explosiv
exposure; Exposition; They had an exposure to the sun; Sie hatten eine Exposition zu der Sonne
extension; Erweiterung; They are planning an extension to the building; Sie planen eine Erweiterung zu dem Gebäude
extensive; umfangreich; They did extensive research; Sie machten umfangreiche Forschung
extensively; ausführlich; They travelled extensively; Sie reisten ausführlich
extract; extrahieren; They extracted the oil; Sie extrahierten das Öl
extremist; Extremist/in; He is an extremist; Er ist ein Extremist
fabric; Stoff; The dress is made of a delicate fabric; Das Kleid ist gemacht aus einem empfindlichen Stoff
fabulous; fabelhaft; The view was fabulous; Die Aussicht war fabelhaft
