word;translation;example_sentence;transition_sentence
enthusiastic; begeistert; they are enthusiastic; sie sind begeistert
entire; ganz; it's the entire story; es ist die ganze Geschichte
entirely; ganz; it's entirely true; es ist ganz wahr
entrance; Eingang; this is the entrance; das ist der Eingang
entry; Eintritt; this is the entry; das ist der Eintritt
environment; Umwelt; it's our environment; es ist unsere Umwelt
environmental; umweltbezogen; it's an environmental problem; es ist ein umweltbezogenes Problem
episode; Episode; it's a tv episode; es ist eine Fernsehfolge
equal; gleich; they are equal; sie sind gleich
equally; gleich; they treat them equally; sie behandeln sie gleich
equipment; Ausrüstung; it's a sports equipment; es ist eine Sportausrüstung
error; Fehler; it's an error; es ist ein Fehler
escape; entkommen; they escape from the prison; sie entkommen aus dem Gefängnis
especially; besonders; it's especially good; es ist besonders gut
essay; Aufsatz; I write an essay; ich schreibe einen Aufsatz
essential; wesentlich; it's essential; es ist wesentlich
establish; etablieren; they establish a company; sie etablieren eine Firma
estate; Anwesen; it's a big estate; es ist ein großes Anwesen
estimate; schätzen; they estimate the cost; sie schätzen die Kosten
ethical; ethisch; it's an ethical problem; es ist ein ethisches Problem
euro; Euro; it costs one euro; es kostet einen Euro
evaluate; bewerten; they evaluate the performance; sie bewerten die Leistung
even; sogar; even he is here; sogar er ist hier
evening; Abend; it's a nice evening; es ist ein schöner Abend
event; Ereignis; it's an important event; es ist ein wichtiges Ereignis
eventually; schließlich; eventually they agree; schließlich stimmen sie zu
ever; jemals; have you ever been there?; warst du jemals dort?
every; jeder; every day is a new day; jeder Tag ist ein neuer Tag
everybody; jeder; everybody is here; jeder ist hier
everyday; alltäglich; it's an everyday thing; es ist eine alltägliche Sache
everyone; jeder; everyone is welcome; jeder ist willkommen
everything; alles; I need everything; ich brauche alles
everywhere; überall; it's everywhere; es ist überall
evidence; Beweis; they have evidence; sie haben Beweise
evil; böse; it's an evil thing; es ist eine böse Sache
exact; exakt; that's the exact time; das ist die exakte Zeit
exactly; genau; exactly what I mean; genau das, was ich meine
exam; Prüfung; I have an exam; ich habe eine Prüfung
examination; Untersuchung; it's a detailed examination; es ist eine detaillierte Untersuchung
examine; untersuchen; they examine the evidence; sie untersuchen die Beweise
example; Beispiel; that's a good example; das ist ein gutes Beispiel
excellent; ausgezeichnet; that's an excellent result; das ist ein ausgezeichnetes Ergebnis
except; außer; everybody is here except him; alle sind hier außer ihm
exchange; austauschen; they exchange ideas; sie tauschen Ideen aus
excited; aufgeregt; I am excited; ich bin aufgeregt
excitement; Aufregung; there is excitement; da ist Aufregung
exciting; aufregend; it's exciting; es ist aufregend
excuse; Entschuldigung; it's an excuse; es ist eine Entschuldigung
executive; Führungskraft; he is an executive; er ist eine Führungskraft
exercise; Übung; I do exercise; ich mache Übung
exhibition; Ausstellung; it's an art exhibition; es ist eine Kunstausstellung
exist; existieren; they exist; sie existieren
existence; Existenz; it's the existence of life; es ist die Existenz des Lebens
expand; erweitern; they expand their business; sie erweitern ihr Geschäft
expect; erwarten; I expect that; ich erwarte das
expectation; Erwartung; it's a big expectation; es ist eine große Erwartung
expected; erwartet; it's the expected result; es ist das erwartete Ergebnis
expedition; Expedition; they go on an expedition; sie gehen auf eine Expedition
expense; Ausgabe; it's a big expense; es ist eine große Ausgabe
expensive; teuer; it's expensive; es ist teuer
experience; Erfahrung; it's an experience; es ist eine Erfahrung
experienced; erfahren; he is an experienced worker; er ist ein erfahrener Arbeiter
experiment; Experiment; they do an experiment; sie machen ein Experiment
expert; Experte; he is an expert; er ist ein Experte
explain; erklären; please explain it; bitte erkläre es
explanation; Erklärung; that's a good explanation; das ist eine gute Erklärung
explode; explodieren; the bomb explodes; die Bombe explodiert
exploration; Erforschung; it's an exploration of the sea; es ist eine Erforschung des Meeres
explore; erforschen; they explore the jungle; sie erforschen den Dschungel
explosion; Explosion; there was an explosion; da war eine Explosion
export; Export; they export the product; sie exportieren das Produkt
expose; aussetzen; they expose him to the sun; sie setzen ihn der Sonne aus
express; ausdrücken; they express their opinion; sie drücken ihre Meinung aus
expression; Ausdruck; that's a sad expression; das ist ein trauriger Ausdruck
extend; erweitern; they extend the road; sie erweitern die Straße
extent; Ausmaß; to what extent?; in welchem Ausmaß?
external; extern; it's an external factor; es ist ein externer Faktor
extra; extra; it's an extra cost; es sind extra Kosten
extraordinary; außergewöhnlich; it's an extraordinary day; es ist ein außergewöhnlicher Tag
extreme; extrem; it's an extreme temperature; es ist eine extreme Temperatur
collapse; zusammenbrechen; the building collapses; das Gebäude bricht zusammen
colleague; Kollege; he is my colleague; er ist mein Kollege
collect; sammeln; they collect stamps; sie sammeln Briefmarken
collection; Sammlung; this is my collection; das ist meine Sammlung
college; Hochschule; he goes to college; er geht zur Hochschule
colour; Farbe; what is your favourite colour?; was ist deine Lieblingsfarbe?
coloured; farbig; the book is coloured; das Buch ist farbig
column; Säule/Spalte; there is a column in the table; da ist eine Spalte in der Tabelle
combination; Kombination; it's a combination of things; es ist eine Kombination von Dingen
combine; kombinieren; they combine these two; sie kombinieren diese zwei
come; kommen; they come to the party; sie kommen zur Party
comedy; Komödie; it's a comedy movie; es ist ein Komödienfilm
comfort; Komfort; it's for comfort; es ist für Komfort
comfortable; bequem; this is comfortable; das ist bequem
command; Befehl; it's a command; es ist ein Befehl
comment; Kommentar; I have a comment; ich habe einen Kommentar
commercial; kommerziell; it's a commercial product; es ist ein kommerzielles Produkt
commission; Kommission; they formed a commission; sie bildeten eine Kommission
commit; begehen; they commit a crime; sie begehen ein Verbrechen
commitment; Engagement; that's a strong commitment; das ist ein starkes Engagement
committee; Ausschuss; it's a committee meeting; es ist eine Ausschusssitzung
common; üblich; it's a common thing; es ist eine übliche Sache
commonly; üblicherweise; this is commonly used; das wird üblicherweise verwendet
communicate; kommunizieren; they communicate by email; sie kommunizieren per Email
communication; Kommunikation; that's an important communication; das ist eine wichtige Kommunikation
community; Gemeinschaft; they live in the community; sie leben in der Gemeinschaft
company; Firma; it's a big company; es ist eine große Firma
compare; vergleichen; they compare these two; sie vergleichen diese zwei
comparison; Vergleich; it's a detailed comparison; es ist ein detaillierter Vergleich
compete; konkurrieren; they compete in a race; sie konkurrieren in einem Rennen
competition; Wettbewerb; it's a tough competition; es ist ein harter Wettbewerb
competitive; wettbewerbsfähig; they are competitive; sie sind wettbewerbsfähig
competitor; Konkurrent; he is the main competitor; er ist der Hauptkonkurrent
complain; beschweren; they complain about the service; sie beschweren sich über den Service
complaint; Beschwerde; that's a big complaint; das ist eine große Beschwerde
complete; vervollständigen; they complete the project; sie vervollständigen das Projekt
completely; vollständig; it's completely done; es ist vollständig fertig
complex; komplex; it's a complex problem; es ist ein komplexes Problem
complicated; kompliziert; it's a complicated story; es ist eine komplizierte Geschichte
component; Komponente; it's a small component; es ist eine kleine Komponente
computer; Computer; I use a computer; ich benutze einen Computer
concentrate; konzentrieren; they concentrate on the task; sie konzentrieren sich auf die Aufgabe
concentration; Konzentration; it's a good concentration; es ist eine gute Konzentration
concept; Konzept; that's an interesting concept; das ist ein interessantes Konzept
concern; Sorge; I have a concern; ich habe eine Sorge
concerned; besorgt; I am concerned about it; ich bin besorgt darüber
concert; Konzert; we go to a concert; wir gehen zu einem Konzert
conclude; schließen; they conclude the meeting; sie schließen das Meeting
conclusion; Schlussfolgerung; that's the conclusion; das ist die Schlussfolgerung
condition; Bedingung; this is the condition; das ist die Bedingung
conduct; durchführen; they conduct a survey; sie führen eine Umfrage durch
conference; Konferenz; it's a business conference; es ist eine Geschäftskonferenz
confidence; Vertrauen; I have confidence in you; ich habe Vertrauen in dich
confident; selbstbewusst; he is confident; er ist selbstbewusst
confirm; bestätigen; please confirm that; bitte bestätige das
conflict; Konflikt; it's a conflict; es ist ein Konflikt
confuse; verwirren; they confuse me; sie verwirren mich
confused; verwirrt; I am confused; ich bin verwirrt
confusing; verwirrend; it's a confusing situation; es ist eine verwirrende Situation
connect; verbinden; they connect the wires; sie verbinden die Drähte
connected; verbunden; it's connected to the internet; es ist mit dem Internet verbunden
connection; Verbindung; it's a good connection; es ist eine gute Verbindung
conscious; bewusst; he is conscious; er ist bewusst
consequence; Konsequenz; that's a serious consequence; das ist eine ernste Konsequenz
conservative; konservativ; he is conservative; er ist konservativ
consider; erwägen; they consider the option; sie erwägen die Option
consideration; Überlegung; it's under consideration; es ist in Überlegung
consist; bestehen; it consists of several parts; es besteht aus mehreren Teilen
consistent; konsistent; it's a consistent result; es ist ein konsistentes Ergebnis
constant; konstant; it's a constant temperature; es ist eine konstante Temperatur
constantly; ständig; they argue constantly; sie streiten ständig
construct; bauen; they construct a bridge; sie bauen eine Brücke
construction; Bau; it's under construction; es ist im Bau
consume; konsumieren; they consume a lot of food; sie konsumieren viel Essen
consumer; Verbraucher; he is a consumer; er ist ein Verbraucher
contact; Kontakt; I need your contact; ich brauche deinen Kontakt
contain; enthalten; the bottle contains water; die Flasche enthält Wasser
container; Behälter; it's a container; es ist ein Behälter
contemporary; zeitgenössisch; it's contemporary art; es ist zeitgenössische Kunst
content; Inhalt; what is the content?; was ist der Inhalt?
contest; Wettbewerb; it's a contest; es ist ein Wettbewerb
context; Kontext; what is the context?; was ist der Kontext?
continent; Kontinent; it's on the european continent; es ist auf dem europäischen Kontinent
continue; fortsetzen; they continue the work; sie setzen die Arbeit fort
continuous; kontinuierlich; it's a continuous process; es ist ein kontinuierlicher Prozess
contract; Vertrag; it's a legal contract; es ist ein legaler Vertrag
contrast; Kontrast; it's a big contrast; es ist ein großer Kontrast
contribute; beitragen; they contribute to the project; sie tragen zum Projekt bei
contribution; Beitrag; it's a valuable contribution; es ist ein wertvoller Beitrag
control; Kontrolle; they have control; sie haben Kontrolle
convenient; bequem; it's a convenient place; es ist ein bequemer Ort
conversation; Gespräch; it's a long conversation; es ist ein langes Gespräch
convert; umwandeln; they convert it to another form; sie wandeln es in eine andere Form um
convince; überzeugen; they convince me; sie überzeugen mich
convinced; überzeugt; I am convinced; ich bin überzeugt
cook; kochen; I like to cook; ich koche gerne
cooker; Herd; it's a kitchen cooker; es ist ein Küchenherd
cooking; Kochen; the cooking is good; das Kochen ist gut
cool; kühl; it's cool; es ist kühl
copy; kopieren; they copy the document; sie kopieren das Dokument
core; Kern; this is the core; das ist der Kern
corner; Ecke; it's in the corner; es ist in der Ecke
corporate; Unternehmens; it's a corporate event; es ist eine Unternehmensveranstaltung
correct; richtig; that's correct; das ist richtig
correctly; richtig; I do it correctly; ich mache es richtig
cost; Kosten; what is the cost?; was sind die Kosten?
costume; Kostüm; they wear a costume; sie tragen ein Kostüm
cottage; Häuschen; it's a small cottage; es ist ein kleines Häuschen
cotton; Baumwolle; the shirt is cotton; das Hemd ist Baumwolle
could; könnte; I could do this; ich könnte das tun
council; Rat; it's a city council; es ist ein Stadtrat
count; zählen; they count the numbers; sie zählen die Zahlen
country; Land; it's a big country; es ist ein großes Land
countryside; Landschaft; I like the countryside; ich mag die Landschaft
county; Bezirk; it's a county; es ist ein Bezirk
couple; Paar; it's a couple; es ist ein Paar
courage; Mut; he shows courage; er zeigt Mut
course; Kurs; I take a course; ich nehme einen Kurs
court; Gericht; it's a court case; es ist ein Gerichtsfall
cousin; Cousin/Cousine; he is my cousin; er ist mein Cousin
cover; bedecken; they cover the table; sie bedecken den Tisch
covered; bedeckt; it's covered in snow; es ist mit Schnee bedeckt
cow; Kuh; it's a cow; es ist eine Kuh
crash; Unfall; it was a car crash; es war ein Autounfall
crazy; verrückt; he is crazy; er ist verrückt
cream; Sahne; I like cream; ich mag Sahne
create; erschaffen; they create a new design; sie erschaffen ein neues Design
creation; Schöpfung; it's a beautiful creation; es ist eine schöne Schöpfung
creative; kreativ; she is creative; sie ist kreativ
creature; Kreatur; it's a strange creature; es ist eine seltsame Kreatur
credit; Kredit; they give credit; sie geben Kredit
crew; Besatzung; they are a crew; sie sind eine Besatzung
crime; Verbrechen; it's a serious crime; es ist ein schweres Verbrechen
criminal; kriminell; he is a criminal; er ist kriminell
crisis; Krise; it's a serious crisis; es ist eine ernste Krise
criterion; Kriterium; it's an important criterion; es ist ein wichtiges Kriterium
critic; Kritiker; he is a critic; er ist ein Kritiker
critical; kritisch; the situation is critical; die Situation ist kritisch
criticism; Kritik; that's a harsh criticism; das ist eine harsche Kritik
criticize; kritisieren; they criticize the work; sie kritisieren die Arbeit
crop; Ernte; it's a good crop; es ist eine gute Ernte
cross; kreuzen; they cross the road; sie kreuzen die Straße
crowd; Menge; there is a big crowd; da ist eine große Menge
crowded; überfüllt; the place is crowded; der Platz ist überfüllt
crucial; entscheidend; it's a crucial decision; es ist eine entscheidende Entscheidung
cruel; grausam; he is cruel; er ist grausam
cry; weinen; I see him cry; ich sehe ihn weinen
cultural; kulturell; it's a cultural event; es ist ein kulturelles Ereignis
culture; Kultur; it's a rich culture; es ist eine reiche Kultur
cup; Tasse; I need a cup; ich brauche eine Tasse
cupboard; Schrank; it's in the cupboard; es ist im Schrank
cure; heilen; they cure the disease; sie heilen die Krankheit
curly; lockig; she has curly hair; sie hat lockige Haare
currency; Währung; what is the currency?; was ist die Währung?
current; aktuell; it's the current news; es sind die aktuellen Nachrichten
currently; aktuell; I am currently working; ich arbeite aktuell
curtain; Vorhang; they close the curtain; sie schließen den Vorhang
curve; Kurve; it's a curve; es ist eine Kurve
curved; gebogen; the road is curved; die Straße ist gebogen
custom; Brauch; it's a local custom; es ist ein lokaler Brauch
customer; Kunde; he is a customer; er ist ein Kunde
cut; schneiden; I cut the paper; ich schneide das Papier
cycle; Zyklus; it's a natural cycle; es ist ein natürlicher Zyklus
dad; Papa; he is my dad; er ist mein Papa
daily; täglich; I do it daily; ich mache es täglich
damage; Schaden; they damage the car; sie beschädigen das Auto
dance; tanzen; I like to dance; ich tanze gerne
dancer; Tänzer; she is a good dancer; sie ist eine gute Tänzerin
dancing; Tanzen; I like dancing; ich mag Tanzen
danger; Gefahr; it's a danger; es ist eine Gefahr
dangerous; gefährlich; it's a dangerous thing; es ist eine gefährliche Sache
dark; dunkel; it's dark; es ist dunkel
data; Daten; they analyze data; sie analysieren Daten
date; Datum; what is the date?; was ist das Datum?
daughter; Tochter; she is my daughter; sie ist meine Tochter
day; Tag; it's a sunny day; es ist ein sonniger Tag
dead; tot; he is dead; er ist tot
deal; Angebot; it's a good deal; es ist ein gutes Angebot
dear; lieb; he is a dear friend; er ist ein lieber Freund
death; Tod; that's the death of a character; das ist der Tod eines Charakters
debate; Debatte; it's a political debate; es ist eine politische Debatte
debt; Schulden; they have debts; sie haben Schulden
decade; Jahrzehnt; it's a decade; es ist ein Jahrzehnt
december; Dezember; it's december; es ist Dezember
decent; anständig; he is a decent person; er ist eine anständige Person
decide; entscheiden; they decide the plan; sie entscheiden den Plan
decision; Entscheidung; that's an important decision; das ist eine wichtige Entscheidung
declare; erklären; they declare the winner; sie erklären den Gewinner
decline; ablehnen; they decline the offer; sie lehnen das Angebot ab
decorate; dekorieren; they decorate the house; sie dekorieren das Haus
decoration; Dekoration; it's a nice decoration; es ist eine schöne Dekoration
decrease; verringern; the amount decrease; die Menge verringert sich
deep; tief; the water is deep; das Wasser ist tief
deeply; tief; they are deeply touched; sie sind tief berührt
defeat; besiegen; they defeat the team; sie besiegen die Mannschaft
defence; Verteidigung; it's a good defence; es ist eine gute Verteidigung
defend; verteidigen; they defend the country; sie verteidigen das Land
define; definieren; they define the terms; sie definieren die Begriffe
definite; bestimmt; it's a definite answer; es ist eine bestimmte Antwort
definitely; definitiv; definitely, it's true; definitiv ist es wahr
definition; Definition; that's the definition; das ist die Definition
degree; Grad; it's a high degree; es ist ein hoher Grad
delay; Verzögerung; there is a delay; da ist eine Verzögerung
deliberate; absichtlich; it's a deliberate action; es ist eine absichtliche Handlung
deliberately; absichtlich; he did it deliberately; er tat es absichtlich
delicious; köstlich; it's delicious; es ist köstlich
delight; Freude; it's a delight; es ist eine Freude
delighted; erfreut; I am delighted; ich bin erfreut
deliver; liefern; they deliver the package; sie liefern das Paket
delivery; Lieferung; it's a fast delivery; es ist eine schnelle Lieferung
demand; fordern; they demand a raise; sie fordern eine Gehaltserhöhung
demonstrate; demonstrieren; they demonstrate the product; sie demonstrieren das Produkt
dentist; Zahnarzt; I need a dentist; ich brauche einen Zahnarzt
deny; leugnen; they deny the claim; sie leugnen die Behauptung
department; Abteilung; it's a department of the company; es ist eine Abteilung des Unternehmens
departure; Abreise; what time is your departure?; wann ist deine Abreise?
depend; abhängen; it depends on the situation; es hängt von der Situation ab
depressed; deprimiert; I am depressed; ich bin deprimiert
depressing; deprimierend; it's a depressing story; es ist eine deprimierende Geschichte
depth; Tiefe; what is the depth?; was ist die Tiefe?
describe; beschreiben; they describe the scene; sie beschreiben die Szene
description; Beschreibung; that's a good description; das ist eine gute Beschreibung
desert; Wüste; it's a hot desert; es ist eine heiße Wüste
deserve; verdienen; they deserve a reward; sie verdienen eine Belohnung
design; Design; it's a modern design; es ist ein modernes Design
designer; Designer; he is a designer; er ist ein Designer
desire; Wunsch; it's my desire; es ist mein Wunsch
desk; Schreibtisch; I work at the desk; ich arbeite am Schreibtisch
desperate; verzweifelt; they are desperate; sie sind verzweifelt
despite; trotz; despite the rain, we go out; trotz des Regens gehen wir raus
destination; Ziel; what is the destination?; was ist das Ziel?
destroy; zerstören; they destroy the building; sie zerstören das Gebäude
detail; Detail; that's a small detail; das ist ein kleines Detail
detailed; detailliert; it's a detailed plan; es ist ein detaillierter Plan
detect; entdecken; they detect the problem; sie entdecken das Problem
detective; Detektiv; he is a detective; er ist ein Detektiv
determine; bestimmen; they determine the result; sie bestimmen das Ergebnis
determined; entschlossen; they are determined; sie sind entschlossen
develop; entwickeln; they develop a new product; sie entwickeln ein neues Produkt
development; Entwicklung; it's a great development; es ist eine großartige Entwicklung
device; Gerät; it's an electronic device; es ist ein elektronisches Gerät
diagram; Diagramm; look at the diagram; schau auf das Diagramm
dialogue; Dialog; it's a long dialogue; es ist ein langer Dialog
diamond; Diamant; it's a diamond ring; es ist ein Diamantring
diary; Tagebuch; I write a diary; ich schreibe ein Tagebuch
dictionary; Wörterbuch; I use a dictionary; ich benutze ein Wörterbuch
die; sterben; they die in the accident; sie sterben bei dem Unfall
diet; Diät; I am on a diet; ich bin auf Diät
difference; Unterschied; what is the difference?; was ist der Unterschied?
different; anders; they are different; sie sind anders
differently; anders; they do it differently; sie machen es anders
difficult; schwierig; it's a difficult problem; es ist ein schwieriges Problem
difficulty; Schwierigkeit; I have a difficulty; ich habe eine Schwierigkeit
dig; graben; they dig a hole; sie graben ein Loch
digital; digital; it's a digital camera; es ist eine Digitalkamera
dinner; Abendessen; I eat dinner; ich esse Abendessen
direct; direkt; go direct to the station; geh direkt zum Bahnhof
direction; Richtung; what is the direction?; was ist die Richtung?
directly; direkt; I am directly involved; ich bin direkt involviert
director; Direktor; he is the director; er ist der Direktor
dirt; Schmutz; there is dirt on the floor; da ist Schmutz auf dem Boden
dirty; schmutzig; the floor is dirty; der Boden ist schmutzig
disadvantage; Nachteil; it's a disadvantage; es ist ein Nachteil
disagree; widersprechen; I disagree; ich widerspreche
disappear; verschwinden; they disappear in the dark; sie verschwinden in der Dunkelheit
disappointed; enttäuscht; I am disappointed; ich bin enttäuscht
disappointing; enttäuschend; it's a disappointing result; es ist ein enttäuschendes Ergebnis
disaster; Katastrophe; it's a terrible disaster; es ist eine schreckliche Katastrophe
disc; Scheibe; it's a disc; es ist eine Scheibe
discipline; Disziplin; they have discipline; sie haben Disziplin
discount; Rabatt; it's a discount; es ist ein Rabatt
discover; entdecken; they discover a new place; sie entdecken einen neuen Ort
discovery; Entdeckung; it's a great discovery; es ist eine große Entdeckung
discuss; diskutieren; they discuss the plan; sie diskutieren den Plan
discussion; Diskussion; it's a long discussion; es ist eine lange Diskussion
disease; Krankheit; it's a serious disease; es ist eine ernste Krankheit
dish; Gericht; I like this dish; ich mag dieses Gericht
dishonest; unehrlich; he is dishonest; er ist unehrlich
dislike; nicht mögen; I dislike it; ich mag es nicht
dismiss; entlassen; they dismiss the worker; sie entlassen den Arbeiter
display; Anzeige; it's a display; es ist eine Anzeige
distance; Entfernung; what is the distance?; was ist die Entfernung?
distribute; verteilen; they distribute the goods; sie verteilen die Güter
distribution; Verteilung; that's the distribution plan; das ist der Verteilungsplan
district; Bezirk; it's a local district; es ist ein lokaler Bezirk
divide; teilen; they divide the cake; sie teilen den Kuchen
division; Teilung; that's a division of land; das ist eine Teilung von Land
divorced; geschieden; they are divorced; sie sind geschieden
do; tun; what do you do?; was tust du?
doctor; Arzt; I need a doctor; ich brauche einen Arzt
document; Dokument; it's an important document; es ist ein wichtiges Dokument
documentary; Dokumentarfilm; it's a documentary; es ist ein Dokumentarfilm
dog; Hund; I have a dog; ich habe einen Hund
dollar; Dollar; it costs one dollar; es kostet einen Dollar
domestic; häuslich; it's a domestic matter; es ist eine häusliche Angelegenheit
dominate; dominieren; they dominate the market; sie dominieren den Markt
donate; spenden; they donate money; sie spenden Geld
door; Tür; close the door; schließe die Tür
double; doppelt; that's double; das ist doppelt
doubt; Zweifel; I have a doubt; ich habe einen Zweifel
down; runter; they go down the stairs; sie gehen die Treppe runter
download; herunterladen; they download the file; sie laden die Datei herunter
downstairs; unten; it's downstairs; es ist unten
downwards; abwärts; they are moving downwards; sie bewegen sich abwärts
dozen; Dutzend; I want a dozen eggs; ich will ein Dutzend Eier
draft; Entwurf; it's a draft; es ist ein Entwurf
drag; ziehen; they drag the box; sie ziehen die Kiste
drama; Drama; it's a drama; es ist ein Drama
dramatic; dramatisch; it's a dramatic event; es ist ein dramatisches Ereignis
draw; zeichnen; I draw a picture; ich zeichne ein Bild
drawing; Zeichnung; it's a nice drawing; es ist eine schöne Zeichnung
dream; Traum; it's a dream; es ist ein Traum
dress; Kleid; she wears a dress; sie trägt ein Kleid
dressed; angezogen; I am dressed; ich bin angezogen
drink; trinken; I drink water; ich trinke Wasser
drive; fahren; I drive a car; ich fahre ein Auto
driver; Fahrer; he is the driver; er ist der Fahrer
driving; Fahren; I like driving; ich mag Fahren
drop; fallen; don't drop it; lass es nicht fallen
drug; Droge; it's an illegal drug; es ist eine illegale Droge
drum; Trommel; I play the drum; ich spiele die Trommel
drunk; betrunken; he is drunk; er ist betrunken
dry; trocken; it's dry; es ist trocken
due; fällig; it's due next week; es ist nächste Woche fällig
during; während; during the night; während der Nacht
dust; Staub; there is dust; da ist Staub
duty; Pflicht; it's my duty; es ist meine Pflicht
dvd; DVD; I watch a DVD; ich schaue eine DVD
each; jeder; each person is different; jede Person ist anders
ear; Ohr; he hurts his ear; er verletzt sein Ohr
early; früh; it's early; es ist früh
earn; verdienen; I earn money; ich verdiene Geld
earth; Erde; it's the earth; es ist die Erde
earthquake; Erdbeben; there is an earthquake; es gibt ein Erdbeben
easily; leicht; it can be done easily; es kann leicht gemacht werden
east; Osten; it's in the east; es ist im Osten
eastern; östlich; it's an eastern city; es ist eine östliche Stadt
easy; einfach; it's easy; es ist einfach
eat; essen; I eat food; ich esse Essen
economic; wirtschaftlich; it's an economic problem; es ist ein wirtschaftliches Problem
economy; Wirtschaft; the economy is growing; die Wirtschaft wächst
edge; Kante; it's on the edge; es ist auf der Kante
edit; bearbeiten; they edit the text; sie bearbeiten den Text
edition; Ausgabe; it's a new edition; es ist eine neue Ausgabe
editor; Herausgeber; he is the editor; er ist der Herausgeber
educate; erziehen; they educate children; sie erziehen Kinder
educated; gebildet; he is educated; er ist gebildet
education; Bildung; they value education; sie schätzen Bildung
educational; bildend; it's an educational program; es ist ein bildendes Programm
effect; Effekt; it has a big effect; es hat einen großen Effekt
effective; effektiv; it's an effective method; es ist eine effektive Methode
effectively; effektiv; they do it effectively; sie machen es effektiv
efficient; effizient; it's an efficient system; es ist ein effizientes System
effort; Anstrengung; it takes effort; es braucht Anstrengung
egg; Ei; I eat an egg; ich esse ein Ei
eight; acht; it's eight o'clock; es ist acht Uhr
eighteen; achtzehn; he is eighteen; er ist achtzehn
eighty; achtzig; she is eighty; sie ist achtzig
either; entweder; either this or that; entweder dies oder das
elderly; älter; he is an elderly man; er ist ein älterer Mann
elect; wählen; they elect a new president; sie wählen einen neuen Präsidenten
election; Wahl; it's an important election; es ist eine wichtige Wahl
electric; elektrisch; it's an electric car; es ist ein elektrisches Auto
electrical; elektrisch; it's an electrical problem; es ist ein elektrisches Problem
electricity; Elektrizität; they use electricity; sie benutzen Elektrizität
electronic; elektronisch; it's an electronic device; es ist ein elektronisches Gerät
element; Element; it's an important element; es ist ein wichtiges Element
elephant; Elefant; it's an elephant; es ist ein Elefant
eleven; elf; it's eleven o'clock; es ist elf Uhr
else; sonst; what else do you want?; was willst du sonst noch?
elsewhere; anderswo; I want to go elsewhere; ich möchte anderswo hingehen
email; Email; I send an email; ich sende eine Email
embarrassed; verlegen; I am embarrassed; ich bin verlegen
embarrassing; peinlich; it's an embarrassing situation; es ist eine peinliche Situation
emerge; auftauchen; they emerge from the water; sie tauchen aus dem Wasser auf
emergency; Notfall; it's an emergency; es ist ein Notfall
emotion; Emotion; it's a strong emotion; es ist eine starke Emotion
emotional; emotional; he is emotional; er ist emotional
emphasis; Betonung; that's the emphasis; das ist die Betonung
emphasize; betonen; they emphasize the point; sie betonen den Punkt
employ; anstellen; they employ workers; sie stellen Arbeiter an
employee; Angestellter; he is an employee; er ist ein Angestellter
employer; Arbeitgeber; he is the employer; er ist der Arbeitgeber
employment; Beschäftigung; it's a full employment; es ist eine volle Beschäftigung
empty; leer; the glass is empty; das Glas ist leer
enable; ermöglichen; that enables me; das ermöglicht mir
encounter; begegnen; they encounter a problem; sie begegnen einem Problem
encourage; ermutigen; they encourage me; sie ermutigen mich
end; Ende; that's the end; das ist das Ende
ending; Ende; it's a sad ending; es ist ein trauriges Ende
enemy; Feind; he is my enemy; er ist mein Feind
energy; Energie; they need energy; sie brauchen Energie
engage; engagieren; they engage in work; sie engagieren sich in der Arbeit
engaged; verlobt; they are engaged; sie sind verlobt
engine; Motor; it's a powerful engine; es ist ein leistungsstarker Motor
engineer; Ingenieur; he is an engineer; er ist ein Ingenieur
engineering; Ingenieurwesen; he studies engineering; er studiert Ingenieurwesen
enhance; verbessern; they enhance the design; sie verbessern das Design
enjoy; genießen; I enjoy this; ich genieße das
enormous; enorm; it's an enormous building; es ist ein enormes Gebäude
enough; genug; that's enough; das ist genug
enquiry; Anfrage; it's an enquiry; es ist eine Anfrage
ensure; sicherstellen; they ensure the quality; sie stellen die Qualität sicher
enter; eintreten; they enter the building; sie treten in das Gebäude ein
entertain; unterhalten; they entertain the guests; sie unterhalten die Gäste
entertainment; Unterhaltung; it's for entertainment; es ist zur Unterhaltung
enthusiasm; Begeisterung; they show enthusiasm; sie zeigen Begeisterung
enthusiastic; begeistert; they are enthusiastic; sie sind begeistert
entire; ganz; it's the entire story; es ist die ganze Geschichte
entirely; ganz; it's entirely true; es ist ganz wahr
entrance; Eingang; this is the entrance; das ist der Eingang
entry; Eintritt; this is the entry; das ist der Eintritt
environment; Umwelt; it's our environment; es ist unsere Umwelt
environmental; umweltbezogen; it's an environmental problem; es ist ein umweltbezogenes Problem
episode; Episode; it's a tv episode; es ist eine Fernsehfolge
equal; gleich; they are equal; sie sind gleich
equally; gleich; they treat them equally; sie behandeln sie gleich
equipment; Ausrüstung; it's a sports equipment; es ist eine Sportausrüstung
error; Fehler; it's an error; es ist ein Fehler
escape; entkommen; they escape from the prison; sie entkommen aus dem Gefängnis
especially; besonders; it's especially good; es ist besonders gut
essay; Aufsatz; I write an essay; ich schreibe einen Aufsatz
essential; wesentlich; it's essential; es ist wesentlich
establish; etablieren; they establish a company; sie etablieren eine Firma
estate; Anwesen; it's a big estate; es ist ein großes Anwesen
estimate; schätzen; they estimate the cost; sie schätzen die Kosten
ethical; ethisch; it's an ethical problem; es ist ein ethisches Problem
